aether-gateway-core  | 2026/02/12 18:27:51 [PERF-GW] window=10s dl{mbps=0.00 writes=0 write_us=0.0} ul{mbps=0.00 writes=0 write_us=0.0}
aether-gateway-core  | 2026/02/12 18:27:51 [PERF] window=10s down{mbps=0.00 rps=13 read_us=46.8 parse_us=2.0 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 18:28:01 [PERF] window=10s down{mbps=0.00 rps=38 read_us=576092.1 parse_us=2.9 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 18:28:01 [PERF-GW] window=10s dl{mbps=1.01 writes=82 write_us=69985.6} ul{mbps=0.00 writes=26 write_us=59.5}
aether-gateway-core  | 2026/02/12 18:28:11 [PERF] window=10s down{mbps=0.00 rps=46 read_us=217727.4 parse_us=8.9 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 18:28:11 [PERF-GW] window=10s dl{mbps=1.49 writes=117 write_us=84470.2} ul{mbps=0.00 writes=34 write_us=79.9}
aether-gateway-core  | 2026/02/12 18:28:21 [PERF-GW] window=10s dl{mbps=1.70 writes=134 write_us=75050.6} ul{mbps=0.00 writes=37 write_us=69.4}
aether-gateway-core  | 2026/02/12 18:28:21 [PERF] window=10s down{mbps=0.00 rps=51 read_us=191629.8 parse_us=8.5 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 18:28:31 [PERF] window=10s down{mbps=0.00 rps=44 read_us=230350.2 parse_us=3.4 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 18:28:31 [PERF-GW] window=10s dl{mbps=1.32 writes=104 write_us=96849.9} ul{mbps=0.00 writes=30 write_us=77.6}
aether-gateway-core  | 2026/02/12 18:28:41 [PERF] window=10s down{mbps=0.00 rps=45 read_us=2415671.6 parse_us=7.0 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 18:28:41 [PERF-GW] window=10s dl{mbps=1.42 writes=114 write_us=86940.0} ul{mbps=0.00 writes=35 write_us=66.6}
aether-gateway-core  | 2026/02/12 18:28:51 [PERF] window=10s down{mbps=0.00 rps=50 read_us=196967.4 parse_us=3.0 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 18:28:51 [PERF-GW] window=10s dl{mbps=1.68 writes=132 write_us=76401.1} ul{mbps=0.00 writes=37 write_us=96.7}
