aether-gateway-core  | 2026/02/12 17:59:26 [PERF] enabled=true interval=10s
aether-gateway-core  | 2026/02/12 17:59:26 [PERF-GW] enabled=true interval=10s
aether-gateway-core  | 2026/02/12 17:59:36 [PERF-GW] window=10s dl{mbps=0.00 writes=0 write_us=0.0} ul{mbps=0.00 writes=0 write_us=0.0}
aether-gateway-core  | 2026/02/12 17:59:36 [PERF] window=10s down{mbps=0.00 rps=0 read_us=0.0 parse_us=0.0 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 17:59:46 [PERF] window=10s down{mbps=0.00 rps=0 read_us=0.0 parse_us=0.0 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 17:59:46 [PERF-GW] window=10s dl{mbps=0.00 writes=0 write_us=0.0} ul{mbps=0.00 writes=0 write_us=0.0}
aether-gateway-core  | 2026/02/12 17:59:56 [PERF-GW] window=10s dl{mbps=0.00 writes=0 write_us=0.0} ul{mbps=0.00 writes=0 write_us=0.0}
aether-gateway-core  | 2026/02/12 17:59:56 [PERF] window=10s down{mbps=0.00 rps=0 read_us=0.0 parse_us=0.0 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 18:00:06 [PERF-GW] window=10s dl{mbps=2.37 writes=708 write_us=10796.7} ul{mbps=0.02 writes=65 write_us=81.3}
aether-gateway-core  | 2026/02/12 18:00:06 [PERF] window=10s down{mbps=0.02 rps=79 read_us=120109.7 parse_us=3.1 dec_us=4.5} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 18:00:16 [PERF-GW] window=10s dl{mbps=2.05 writes=216 write_us=44979.6} ul{mbps=0.01 writes=54 write_us=134.7}
aether-gateway-core  | 2026/02/12 18:00:16 [PERF] window=10s down{mbps=0.01 rps=59 read_us=266153.8 parse_us=7.6 dec_us=4.5} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
aether-gateway-core  | 2026/02/12 18:00:26 [PERF-GW] window=10s dl{mbps=2.25 writes=215 write_us=45635.5} ul{mbps=0.00 writes=50 write_us=91.2}
aether-gateway-core  | 2026/02/12 18:00:26 [PERF] window=10s down{mbps=0.00 rps=57 read_us=176501.0 parse_us=3.9 dec_us=0.0} up{mbps=0.00 wps=0 build_us=0.0 write_us=0.0}
